Theatre_Name,Theatre_Type,Total_Theatre_Seats_Capacity,Theatre_Max_Price_Seats_Capacity,Theatre_Min_Price_Seats_Capacity,State,City,City_Type,Max_Shows_Allowed_Per_Day,Ticket_Price_Max,Ticket_Price_Min,First_Day_Revenue
Chokshi-Bandi,Mini,137,135,2,Telangana,Amroha,C,5,675,147,457095
Borde-Ahuja,Multiplex,268,266,2,Haryana,Bhatpara,C,6,339,188,543300
Sawhney-Dutta,Single Screen,384,347,37,Uttarakhand,Ambattur,C,5,316,111,568795
Sane-Chadha,IMAX,297,280,17,Chhattisgarh,Chandigarh,C,5,269,192,392920
"Comar, Kala and Agarwal",IMAX,306,292,14,Manipur,Meerut,C,6,653,161,1157580
"Behl, Ben and Sinha",Multiplex,104,98,6,Andhra Pradesh,Rajpur Sonarpur,C,5,324,129,162630
"Sarna, Arora and Keer",Mini,400,371,29,Chhattisgarh,Chinsurah,C,4,641,70,959364
Prabhakar-Kashyap,IMAX,221,220,1,Andhra Pradesh,Indore,C,4,325,95,286380
Gokhale-Bawa,Mini,397,371,26,Rajasthan,Thrissur,C,6,380,177,873492
"Ramakrishnan, Savant and Iyer",Mini,274,271,3,Tamil Nadu,Ulhasnagar,C,3,364,188,297624
Karnik Ltd,Mini,373,371,2,Jharkhand,Thane,C,5,568,162,1055260
Manne and Sons,Single Screen,159,157,2,Nagaland,Hindupur,C,5,408,55,320830
Nair-Sane,Mini,248,243,5,Uttarakhand,Raiganj,C,6,236,166,349068
Kalla Inc,Mini,396,377,19,Gujarat,Chandrapur,C,6,421,80,961422
Pathak PLC,Multiplex,155,154,1,Tripura,Nanded,C,6,698,197,646134
Sood Ltd,IMAX,300,291,9,Uttar Pradesh,Bally,C,6,395,124,696366
"Bawa, Iyer and Krish",Mini,314,293,21,Chhattisgarh,Vellore,C,6,286,181,525594
"Agrawal, Goda and Narasimhan",IMAX,177,172,5,Uttarakhand,Barasat,C,6,559,197,582798
"Kulkarni, Bhatt and Tiwari",Single Screen,251,235,16,Haryana,Chinsurah,C,5,347,56,412205
Walia-Natt,Single Screen,396,396,0,Punjab,Kollam,C,5,699,147,1384020
Chander LLC,Mini,313,313,0,Kerala,Panihati,C,6,404,96,758712
Butala Ltd,IMAX,134,131,3,Sikkim,Mysore,C,4,686,154,361312
Kurian Group,IMAX,117,108,9,Manipur,Mangalore,C,6,662,162,437724
Garde LLC,IMAX,324,301,23,Bihar,Secunderabad,C,6,230,102,429456
Bava-Bedi,IMAX,173,161,12,Manipur,Nagpur,C,4,464,169,306928
"Varghese, Naik and Sem",Single Screen,327,323,4,Nagaland,Aligarh,C,3,238,162,232566
Salvi and Sons,Single Screen,283,280,3,Andhra Pradesh,Kulti,C,4,493,157,554044
"Dua, Dutt and Kothari",Single Screen,195,194,1,Madhya Pradesh,Kalyan-Dombivli,C,6,486,92,566256
"Apte, Basak and Ramanathan",Mini,203,198,5,Odisha,Srinagar,C,4,308,111,246156
Bose Inc,Multiplex,173,167,6,Odisha,Udupi,C,4,339,121,229356
Sridhar LLC,IMAX,111,105,6,Chhattisgarh,Rewa,C,3,637,146,203283
Rajagopal-Bhavsar,Mini,216,195,21,Tamil Nadu,Vijayawada,C,3,414,138,250884
Borra Group,Single Screen,197,187,10,Tamil Nadu,Anantapur,C,6,485,150,553170
Pant Ltd,Mini,171,162,9,Haryana,Gandhinagar,C,3,279,179,140427
Iyengar LLC,Mini,224,209,15,Andhra Pradesh,Gangtok,C,3,226,147,148317
"Zacharia, Pandya and Biswas",Mini,229,213,16,Manipur,Uluberia,C,5,357,186,395085
Sunder-Oommen,IMAX,274,267,7,Mizoram,Kochi,C,3,269,198,219627
"Mitter, Lal and Sarin",Multiplex,231,226,5,Chhattisgarh,Fatehpur,C,5,389,129,442795
Sami Inc,Single Screen,371,371,0,Kerala,Nagercoil,C,5,336,163,623280
Arora-Sathe,IMAX,254,250,4,West Bengal,Bhatpara,C,5,380,57,476140
"Raval, Agrawal and Mittal",IMAX,385,358,27,Telangana,Katihar,C,6,488,151,1072686
Golla LLC,Multiplex,192,191,1,Kerala,Bangalore,C,4,579,83,442688
Mander PLC,Single Screen,162,155,7,Manipur,Raebareli,C,3,679,173,319368
Date PLC,Multiplex,147,138,9,Meghalaya,Pallavaram,C,5,496,152,349080
Chacko-Barad,IMAX,206,188,18,Himachal Pradesh,Katni,C,4,486,170,377712
Bandi Inc,IMAX,181,165,16,Madhya Pradesh,Guwahati,C,6,313,69,316494
"Krishna, Mannan and Bahl",Mini,180,171,9,Tamil Nadu,Shimla,C,5,618,154,535320
Kohli Ltd,Single Screen,395,388,7,West Bengal,Hapur,C,6,678,197,1586658
Ravel Group,IMAX,258,249,9,Jharkhand,Jabalpur,C,3,428,52,321120
"Hegde, Boase and Nayar",Single Screen,199,194,5,Punjab,Dehradun,C,3,451,51,263247
Manda Group,Multiplex,265,263,2,Rajasthan,Tezpur,C,3,301,184,238593
Ramachandran-Raghavan,IMAX,259,249,10,Mizoram,Farrukhabad,C,3,286,55,215292
Kala Group,Single Screen,181,181,0,Haryana,Chinsurah,C,3,580,175,314940
Kapadia PLC,Mini,252,241,11,Odisha,Jaunpur,C,5,244,151,302325
Sarraf Ltd,Mini,371,340,31,Chhattisgarh,Kochi,C,4,547,67,752228
"Pingle, Choudhary and Walia",Multiplex,237,225,12,Rajasthan,Agra,C,6,277,169,386118
Bhat-Devi,Mini,109,108,1,Haryana,Junagadh,C,5,297,153,161145
Tripathi-Kalla,IMAX,229,221,8,Arunachal Pradesh,Ramgarh,C,4,632,63,560704
"Padmanabhan, Devan and Amble",Single Screen,303,302,1,Telangana,Bokaro,C,6,483,137,876018
"Bansal, Balasubramanian and Vala",Mini,377,365,12,Arunachal Pradesh,Firozabad,C,4,216,196,324768
Natarajan-Goswami,Mini,359,328,31,Arunachal Pradesh,Bathinda,C,4,671,110,893992
"Wason, Dora and Kaul",Single Screen,303,286,17,Chhattisgarh,Kharagpur,C,3,428,62,370386
Sachdev Ltd,Multiplex,232,222,10,Karnataka,Hindupur,C,6,514,89,689988
Sawhney-Jha,Single Screen,168,156,12,Telangana,Muzaffarpur,C,6,248,118,240624
"Mitter, Garg and Borra",Mini,356,350,6,Tamil Nadu,Madhyamgram,C,6,213,74,449964
Edwin-Magar,Mini,122,111,11,Odisha,Alappuzha,C,3,499,160,171447
Chahal PLC,IMAX,347,339,8,Sikkim,Jalandhar,C,3,526,83,536934
"Butala, Padmanabhan and Deep",Mini,137,128,9,Maharashtra,Varanasi,C,4,233,80,122176
Madan PLC,Single Screen,381,359,22,Gujarat,Kavali,C,4,331,108,484820
Patla-Kala,Single Screen,389,361,28,Kerala,Pudukkottai,C,3,635,118,697617
Warrior Ltd,Single Screen,344,323,21,Odisha,Hajipur,C,4,513,76,669180
Wagle PLC,Mini,374,351,23,Himachal Pradesh,Amroha,C,5,625,81,1106190
"Nagar, Goswami and Arya",Multiplex,319,306,13,Goa,Motihari,C,6,252,122,472188
Rai-Konda,Single Screen,109,102,7,Meghalaya,Morena,C,5,635,167,329695
"Shanker, Hora and Rajagopalan",Mini,156,147,9,Arunachal Pradesh,Avadi,C,4,363,193,220392
Srinivas-Nagy,IMAX,221,203,18,Madhya Pradesh,Cuttack,C,6,291,148,370422
"Konda, Iyengar and Raman",Single Screen,277,258,19,Chhattisgarh,Chittoor,C,3,474,189,377649
Dash-Swaminathan,Single Screen,135,133,2,Goa,Panihati,C,5,544,197,363730
Ratta Group,IMAX,330,315,15,Uttar Pradesh,Rajahmundry,C,6,572,168,1096200
Comar Group,IMAX,187,179,8,Gujarat,Davanagere,C,5,307,128,279885
Mahajan Inc,Single Screen,275,248,27,Haryana,Bhopal,C,5,528,168,677400
Devan Group,IMAX,184,172,12,Tamil Nadu,Bikaner,C,5,453,78,394260
Nayar-Sehgal,Mini,307,283,24,Telangana,Pudukkottai,C,5,324,182,480300
Wason and Sons,Multiplex,180,162,18,Rajasthan,Durg,C,3,600,107,297378
Gulati-Muni,Mini,373,372,1,Bihar,Varanasi,C,5,274,125,510265
"Tara, Singh and Bakshi",IMAX,397,371,26,Meghalaya,Mira-Bhayandar,C,3,530,57,594336
Bhasin-Pandya,Multiplex,390,372,18,Manipur,Sikar,C,3,517,66,580536
Vig and Sons,IMAX,281,266,15,Maharashtra,Visakhapatnam,C,4,454,156,492416
"Krishna, Narula and Bhagat",Single Screen,247,242,5,Haryana,Kalyan-Dombivli,C,6,405,85,590610
Kale Group,Single Screen,287,279,8,Rajasthan,Katni,C,4,682,58,762968
Choudhary-Sani,Single Screen,311,297,14,Tamil Nadu,Rajahmundry,C,3,514,71,460956
Sachdev-Bose,Mini,130,129,1,Telangana,Gandhinagar,C,5,285,169,184670
Kumer-Nadkarni,Single Screen,155,152,3,Assam,Panipat,C,6,304,96,278976
Mittal-Kara,IMAX,259,257,2,Jharkhand,Tirupati,C,5,461,134,593725
Bhatnagar PLC,IMAX,392,392,0,Tripura,Chandrapur,C,3,534,66,627984
Suresh LLC,Mini,164,157,7,Andhra Pradesh,Gwalior,C,4,378,185,242564
"Sathe, Chana and Sanghvi",Mini,329,310,19,Himachal Pradesh,Bhimavaram,C,4,290,197,374572
"Barad, Som and Shanker",Single Screen,265,246,19,Uttarakhand,Kota,C,6,560,156,844344
Prabhu PLC,IMAX,344,339,5,Tamil Nadu,Alwar,C,5,337,55,572590
Ram PLC,Single Screen,185,172,13,Kerala,Ratlam,C,4,589,127,411836
"Bhagat, Mohanty and Balan",IMAX,220,208,12,Uttar Pradesh,Dewas,C,5,215,60,227200
Ravel-Behl,Single Screen,173,173,0,Chhattisgarh,Thanjavur,C,3,570,64,295830
Bedi Inc,IMAX,253,239,14,Assam,Bihar Sharif,C,6,244,129,360732
Peri-Majumdar,Mini,174,160,14,Telangana,Ichalkaranji,C,6,337,133,334692
Subramaniam LLC,Mini,233,212,21,Tamil Nadu,South Dumdum,C,3,575,122,373386
"Mallick, Tak and Soman",Single Screen,227,224,3,Mizoram,Srinagar,C,6,527,176,711456
Prabhu-Kala,Single Screen,131,120,11,Kerala,Chandrapur,C,6,436,143,323358
Bassi PLC,Mini,392,378,14,Odisha,Jabalpur,C,4,366,109,559496
Ramachandran and Sons,IMAX,400,399,1,Jharkhand,Jabalpur,C,5,373,104,744655
Yogi Ltd,Single Screen,277,272,5,Meghalaya,Naihati,C,6,495,106,811020
"Suri, Dugar and Kulkarni",Mini,333,321,12,Uttarakhand,Purnia,C,4,633,180,821412
"Krishna, Purohit and Konda",Multiplex,213,206,7,Chhattisgarh,Khora ,C,3,688,173,428817
Dar-Wable,Single Screen,241,231,10,Telangana,Alappuzha,C,4,532,103,495688
"Jhaveri, Bhat and Khare",Multiplex,192,185,7,Arunachal Pradesh,Rajahmundry,C,6,368,75,411630
Shere-Rao,Single Screen,178,169,9,Bihar,Yamunanagar,C,6,687,114,702774
Vig Group,Multiplex,391,357,34,Nagaland,Danapur,C,5,307,167,576385
"Acharya, Chacko and Goda",Single Screen,128,125,3,Meghalaya,Jalna,C,4,387,61,194232
"Seth, Sathe and Chaudhary",Mini,137,131,6,Haryana,Salem,C,3,274,113,109716
Chahal-Devan,Single Screen,267,264,3,Chhattisgarh,Bhiwandi,C,3,459,72,364176
Singhal Ltd,Mini,282,272,10,Kerala,Howrah,C,6,237,200,398784
"Dixit, Mohanty and Murthy",Mini,126,122,4,Bihar,Karimnagar,C,4,287,126,142072
Oommen PLC,Mini,301,292,9,Jharkhand,Asansol,C,3,250,90,221430
Tak-Kunda,Mini,290,263,27,Meghalaya,Satara,C,3,277,132,229245
Seth Group,Single Screen,361,359,2,Tripura,Shimoga,C,6,604,182,1303200
"Butala, Deo and Sachdeva",Multiplex,400,395,5,Gujarat,Jaunpur,C,4,631,138,999740
Kashyap-Naik,Multiplex,278,256,22,Karnataka,Jalna,C,4,583,129,608344
Srivastava and Sons,Mini,135,126,9,Telangana,Bhatpara,C,6,266,135,208386
Walia-Ram,IMAX,260,249,11,West Bengal,Morbi,C,6,696,81,1045170
Sampath PLC,IMAX,321,307,14,Jharkhand,Patiala,C,4,700,181,869736
"Bahl, Aggarwal and Roy",Single Screen,242,229,13,Tamil Nadu,Belgaum,C,4,218,160,208008
Kaul-Bawa,Multiplex,310,302,8,Telangana,Giridih,C,3,553,187,505506
Kaul-Arya,Mini,321,306,15,Bihar,Amroha,C,5,277,52,427710
Pandya-Dugar,Multiplex,334,307,27,Maharashtra,Guntur,C,3,370,60,345630
"Gokhale, Zachariah and Kumar",Mini,178,177,1,Punjab,Dhule,C,5,520,193,461165
"Karpe, Gara and Seth",IMAX,356,334,22,Tripura,Tezpur,C,6,514,164,1051704
Dixit-Malhotra,IMAX,139,135,4,Karnataka,Mau,C,4,561,105,304620
"Tak, Ranganathan and Dhaliwal",IMAX,112,104,8,Himachal Pradesh,Ambarnath,C,3,591,59,185808
"Joshi, Choudhry and Master",Multiplex,122,121,1,Jharkhand,Tinsukia,C,5,601,156,364385
Bajwa Ltd,Multiplex,125,114,11,Uttar Pradesh,Ulhasnagar,C,4,517,88,239624
"Morar, Tiwari and Gera",IMAX,362,329,33,Punjab,Ludhiana,C,3,485,103,488892
Natt-Lal,Multiplex,243,231,12,Assam,Surat,C,3,407,112,286083
Sheth-De,Multiplex,308,278,30,Goa,Ambarnath,C,6,572,187,987756
Viswanathan and Sons,Mini,145,137,8,Punjab,Chapra,C,5,687,157,476875
Mitra PLC,Multiplex,279,259,20,Goa,Panipat,C,3,548,147,434616
"Arya, Saran and Karpe",Mini,304,280,24,Punjab,Burhanpur,C,4,404,172,468992
Sandhu LLC,Single Screen,368,366,2,Madhya Pradesh,Patna,C,3,455,89,500124
Rout Ltd,IMAX,180,180,0,Assam,Ichalkaranji,C,3,554,124,299160
"Jaggi, Shenoy and Solanki",IMAX,179,173,6,Tamil Nadu,Panchkula,C,6,317,140,334086
Sarkar Inc,IMAX,244,244,0,Meghalaya,Bahraich,C,6,474,107,693936
"Ramanathan, Parmer and Suresh",Multiplex,373,359,14,Mizoram,Kulti,C,3,603,152,655815
"Seshadri, Kohli and Chakraborty",IMAX,366,330,36,Nagaland,Hospet,C,5,262,115,453000
"Shukla, Luthra and Dada",Mini,245,226,19,Uttar Pradesh,Vijayawada,C,4,420,168,392448
"Yogi, Bhakta and Kothari",Multiplex,233,221,12,Tripura,Junagadh,C,6,344,194,470112
"Nadig, Naik and Deol",Multiplex,322,298,24,Rajasthan,Malegaon,C,6,440,145,807600
"Uppal, Sunder and Pant",Multiplex,387,366,21,Haryana,Haridwar,C,6,667,75,1474182
Kurian-Kannan,Multiplex,317,298,19,Telangana,Tenali,C,5,430,61,646495
"Chaudhuri, Gera and Kumar",Mini,287,261,26,Punjab,Imphal,C,6,316,127,514668
Kothari PLC,Single Screen,145,137,8,Madhya Pradesh,Ulhasnagar,C,3,679,162,282957
"Baria, Agate and Butala",Single Screen,175,175,0,Gujarat,Panchkula,C,3,278,139,145950
Dua-Jaggi,Mini,319,298,21,Bihar,Bhopal,C,4,332,170,410024
Luthra-Dubey,IMAX,346,331,15,Kerala,Tiruchirappalli,C,3,556,101,556653
Subramaniam-Chander,Multiplex,293,278,15,Meghalaya,Karawal Nagar,C,6,265,91,450210
"Sharma, Saran and Choudhary",IMAX,155,144,11,Maharashtra,Udaipur,C,5,490,173,362315
Goyal-Bhattacharyya,Single Screen,106,105,1,Chhattisgarh,Khammam,C,4,344,64,144736
Ghose LLC,Single Screen,291,265,26,Himachal Pradesh,Bhopal,C,5,382,132,523310
Magar-Tara,Multiplex,129,124,5,West Bengal,Chittoor,C,5,512,58,318890
"Bhakta, Krishna and Peri",Multiplex,388,351,37,Manipur,Bongaigaon,C,4,500,176,728048
Khalsa-Sekhon,IMAX,334,319,15,Tripura,Thoothukudi,C,6,279,129,545616
"Batra, Goda and Hayre",IMAX,149,143,6,Arunachal Pradesh,Nizamabad,C,4,216,101,125976
Cherian-Jaggi,Mini,227,211,16,Odisha,Tiruvottiyur,C,4,605,65,514780
Biswas Inc,Multiplex,115,106,9,Sikkim,Gulbarga,C,3,359,107,117051
"Bhavsar, Sekhon and Yogi",Mini,180,171,9,Manipur,Berhampur,C,4,219,175,156096
"Shah, Nadkarni and Banerjee",Mini,154,140,14,Meghalaya,Mehsana,C,6,370,119,320796
"Patla, Mahajan and Dasgupta",IMAX,298,294,4,Kerala,Dehradun,C,6,564,99,997272
"Vig, Setty and Bhasin",Mini,151,139,12,Punjab,Tumkur,C,4,284,136,164432
Dixit-Chhabra,Single Screen,331,311,20,Gujarat,Madanapalle,C,6,238,51,450228
Rajagopal and Sons,Single Screen,165,158,7,Punjab,Panipat,C,3,276,107,133071
Raval-Nayak,Mini,119,114,5,Jharkhand,Dehradun,C,6,590,169,408630
Loke and Sons,IMAX,152,147,5,Tripura,Farrukhabad,C,5,250,144,187350
"Warrior, Brahmbhatt and Bhavsar",Multiplex,234,231,3,Gujarat,Chapra,C,4,605,179,561168
Cherian-Maharaj,Multiplex,272,270,2,Uttarakhand,Ramagundam,C,6,416,160,675840
Arora Inc,Multiplex,377,370,7,Tripura,Purnia,C,4,321,198,480624
Thakur-Mohan,Single Screen,349,316,33,Tripura,Suryapet,C,5,604,120,974120
Sharaf-Bera,IMAX,117,108,9,Assam,Chapra,C,6,619,99,406458
Kala-Seshadri,IMAX,142,137,5,Odisha,Bihar Sharif,C,4,452,150,250696
"Buch, Kapoor and Dubey",Mini,382,364,18,Andhra Pradesh,Jhansi,C,5,365,89,672310
"Sem, Venkataraman and Handa",Multiplex,174,169,5,West Bengal,Thoothukudi,C,5,565,192,482225
Jayaraman-Mani,Single Screen,228,211,17,Jharkhand,Rajpur Sonarpur,C,6,307,68,395598
Nagi and Sons,Single Screen,336,321,15,Haryana,Proddatur,C,6,249,126,490914
"Som, Sood and Bora",Mini,121,118,3,Punjab,Madanapalle,C,3,638,78,226554
Bahri LLC,Multiplex,178,166,12,Uttarakhand,Singrauli,C,6,533,200,545268
Palan-Desai,Multiplex,234,231,3,Rajasthan,Chapra,C,4,552,196,512400
"Solanki, Mody and Kumer",IMAX,103,97,6,Karnataka,Ozhukarai,C,3,222,117,66708
Naik PLC,IMAX,147,134,13,Odisha,Rohtak,C,3,635,76,258234
Salvi PLC,Single Screen,261,249,12,Uttarakhand,Thiruvananthapuram,C,4,664,127,667440
"Ganesan, Kuruvilla and Sandal",IMAX,309,292,17,Chhattisgarh,Tiruppur,C,4,358,66,422632
"Dhar, Kanda and Tank",Multiplex,212,204,8,Punjab,Karawal Nagar,C,3,353,73,217788
"Pal, Swaminathan and Seshadri",Single Screen,135,127,8,West Bengal,Karaikudi,C,3,266,193,105978
Wable Ltd,Multiplex,259,259,0,Kerala,Bathinda,C,5,681,71,881895
"Lad, Saraf and Gade",Single Screen,180,170,10,Maharashtra,Ludhiana,C,3,437,200,228870
Ghose Ltd,Multiplex,258,249,9,Sikkim,Pallavaram,C,6,229,178,351738
"Lad, Shan and Kota",Mini,312,312,0,Haryana,Bhavnagar,C,5,615,62,959400
Mukhopadhyay-Ben,IMAX,332,326,6,Tripura,Mathura,C,5,548,178,898580
Ram Inc,IMAX,369,356,13,Uttarakhand,Aurangabad,C,3,221,100,239928
Brahmbhatt and Sons,Multiplex,234,223,11,Uttarakhand,Jorhat,C,6,349,130,475542
"Prabhakar, Bahl and Desai",IMAX,164,160,4,Meghalaya,Tenali,C,6,377,170,366000
"Raman, Nair and Lanka",Mini,127,120,7,Goa,Siwan,C,5,223,106,137510
Dara Inc,Single Screen,330,314,16,Manipur,Thrissur,C,5,526,198,841660
Ganesh-Sengupta,IMAX,101,92,9,Himachal Pradesh,Saharsa,C,4,336,77,126420
Narayanan Inc,Single Screen,301,278,23,West Bengal,Barasat,C,5,255,97,365605
"Misra, Badami and Bal",IMAX,253,251,2,Bihar,Akola,C,3,636,148,479796
"Sachdeva, Ray and Sehgal",Multiplex,214,209,5,Odisha,Sambalpur,C,6,598,165,754842
"Varughese, Kakar and Munshi",Mini,219,217,2,Haryana,Fatehpur,C,3,388,175,253638
Wagle-Nagarajan,IMAX,223,221,2,Nagaland,Thoothukudi,C,3,251,56,166749
Dugal-Mistry,IMAX,270,261,9,West Bengal,Amravati,C,6,612,74,962388
"Mammen, Pau and Raju",Single Screen,264,257,7,Maharashtra,Ajmer,C,6,229,149,359376
Sahni Ltd,Mini,110,110,0,Rajasthan,Meerut,C,5,435,124,239250
"Samra, Dixit and Badal",IMAX,337,318,19,Uttar Pradesh,Thanjavur,C,6,606,199,1178934
Krishna-Rajan,Mini,360,344,16,Gujarat,Jammu,C,3,449,53,465912
Varty Group,Single Screen,307,282,25,Uttarakhand,Gandhidham,C,3,222,63,192537
Nayak PLC,IMAX,339,339,0,Karnataka,Tadipatri,C,3,437,174,444429
"Sinha, Walla and Sekhon",Single Screen,346,326,20,Chhattisgarh,Bardhaman,C,5,514,100,847820
"Kata, Kadakia and Ranganathan",Single Screen,118,111,7,Assam,Ballia,C,3,266,68,90006
"Karpe, Modi and Bal",IMAX,154,141,13,Karnataka,Dehradun,C,3,228,121,101163
Venkatesh Group,Multiplex,187,185,2,Bihar,Deoghar,C,5,356,125,330550
Bava and Sons,Multiplex,282,272,10,Gujarat,Howrah,C,6,439,121,723708
Kumar Ltd,Single Screen,218,211,7,Karnataka,Kirari Suleman Nagar,C,5,549,194,585985
Rao-Bose,IMAX,275,264,11,Tamil Nadu,Madurai,C,4,327,195,353892
"Mane, Salvi and Vohra",Multiplex,345,344,1,Meghalaya,Morbi,C,4,582,109,801268
Issac PLC,Mini,224,224,0,Rajasthan,Madurai,C,3,369,199,247968
"Loyal, Chokshi and Sawhney",Single Screen,296,276,20,Assam,Panchkula,C,6,388,104,655008
Golla-Trivedi,IMAX,157,142,15,Kerala,Delhi,C,6,330,76,288000
"Savant, Sur and Bhatt",IMAX,210,192,18,Manipur,Varanasi,C,5,600,159,590310
Aggarwal-Raman,Single Screen,239,223,16,Chhattisgarh,Machilipatnam,C,6,577,88,780474
"Kade, Mitra and Acharya",Single Screen,386,364,22,Meghalaya,Ulhasnagar,C,6,649,134,1435104
Deol-Chand,Single Screen,178,163,15,Haryana,Uluberia,C,6,493,166,497094
Sawhney-Vyas,Multiplex,233,211,22,Uttar Pradesh,Kirari Suleman Nagar,C,3,683,111,439665
Zachariah Ltd,Mini,395,383,12,Uttarakhand,Katihar,C,3,668,173,773760
Gokhale and Sons,IMAX,325,323,2,Uttarakhand,Udaipur,C,6,213,143,414510
Prakash Ltd,Mini,386,380,6,Telangana,Dhule,C,6,656,108,1499568
"Rout, Dayal and Sama",Mini,336,328,8,Himachal Pradesh,Rampur,C,3,660,81,651384
Krishnan and Sons,IMAX,169,159,10,Punjab,Faridabad,C,3,411,200,202047
Banerjee-Shankar,Single Screen,289,265,24,Maharashtra,Hospet,C,5,411,127,559815
Uppal Inc,IMAX,206,188,18,Kerala,Bikaner,C,6,217,76,252984
"Biswas, Batra and Sarin",Mini,267,256,11,Andhra Pradesh,Ozhukarai,C,6,212,109,332826
Shenoy-Srinivas,Single Screen,228,207,21,Rajasthan,Mangalore,C,4,453,75,381384
Oak and Sons,IMAX,303,273,30,Rajasthan,Vijayawada,C,4,395,132,447180
Mutti PLC,Single Screen,128,123,5,Odisha,Tadipatri,C,3,528,94,196242
Ramakrishnan Group,IMAX,127,127,0,Tamil Nadu,Karaikudi,C,3,551,70,209931
Chauhan PLC,Multiplex,128,127,1,Arunachal Pradesh,Ongole,C,5,427,68,271485
Dhillon Inc,IMAX,136,123,13,Uttarakhand,Jorhat,C,6,308,193,242358
Goswami-Varkey,Mini,229,210,19,Tamil Nadu,Mathura,C,3,281,72,181134
Arora-Arya,Single Screen,100,100,0,Kerala,Kollam,C,4,545,99,218000
"Gaba, Bakshi and Taneja",Mini,292,266,26,Assam,Kottayam,C,3,601,193,494652
Vig-Lad,IMAX,344,336,8,Sikkim,Karaikudi,C,4,555,105,749280
Muni-Ben,Multiplex,131,127,4,West Bengal,Sultan Pur Majra,C,5,480,81,306420
Nori-Khalsa,IMAX,338,323,15,Uttar Pradesh,Tumkur,C,6,648,142,1268604
Dar-Rajan,Mini,314,310,4,Uttarakhand,Serampore,C,4,274,68,340848
"Ramesh, Dayal and Bhavsar",Single Screen,171,171,0,Meghalaya,Chapra,C,6,319,70,327294
Chana Group,IMAX,247,244,3,Uttar Pradesh,Hospet,C,6,406,66,595572
Varma-Chandra,Single Screen,114,112,2,Madhya Pradesh,Lucknow,C,4,421,117,189544
Divan Ltd,Multiplex,323,308,15,Karnataka,Madanapalle,C,6,469,98,875532
"Banik, Varghese and Tripathi",Mini,133,127,6,Uttarakhand,Guwahati,C,6,432,120,333504
Vohra-Narayan,Multiplex,224,220,4,Chhattisgarh,Bharatpur,C,4,610,197,539952
Thaker Ltd,Multiplex,392,378,14,Tripura,Ramagundam,C,4,385,85,586880
Chopra-Naik,Single Screen,305,280,25,Kerala,Bijapur,C,6,676,76,1147080
Kanda PLC,Single Screen,294,266,28,Madhya Pradesh,Dhule,C,4,446,199,496832
Kale Group,Mini,390,370,20,Sikkim,Miryalaguda,C,4,689,97,1027480
Chahal LLC,Mini,194,175,19,Arunachal Pradesh,Khandwa,C,6,599,115,642060
"Butala, Subramaniam and Anand",Mini,254,233,21,Meghalaya,Aligarh,C,5,599,113,709700
Vaidya-Acharya,IMAX,377,350,27,Uttarakhand,Haridwar,C,3,656,79,695199
Sunder-Saraf,Multiplex,258,233,25,Goa,Ludhiana,C,4,323,61,307136
"Ramakrishnan, Raj and Kadakia",IMAX,231,231,0,Mizoram,Sirsa,C,3,374,193,259182
Mody-Minhas,IMAX,345,340,5,Andhra Pradesh,Mirzapur,C,5,372,139,635875
Mani and Sons,Multiplex,298,276,22,Bihar,Suryapet,C,4,609,173,687560
Kamdar-Cherian,IMAX,126,124,2,Uttar Pradesh,Motihari,C,5,505,75,313850
"Tripathi, Roy and Barman",Single Screen,108,104,4,Chhattisgarh,Ramagundam,C,6,698,110,438192
Sem PLC,IMAX,186,183,3,Bihar,Bettiah,C,6,301,151,333216
"Raja, Ramakrishnan and Korpal",IMAX,111,108,3,Himachal Pradesh,Kozhikode,C,4,307,132,134208
"Mall, Chowdhury and Amble",Mini,137,129,8,Tamil Nadu,Mathura,C,3,299,131,118857
Bose PLC,Mini,390,359,31,Uttarakhand,Ongole,C,6,604,108,1321104
"Dugal, Tailor and Kulkarni",IMAX,392,380,12,Mizoram,Muzaffarnagar,C,5,460,198,885880
"Sarkar, Suri and Mall",Mini,277,275,2,Maharashtra,Mumbai,C,4,340,165,375320
Mukherjee LLC,Mini,143,142,1,Nagaland,Arrah,C,3,455,105,194145
"Narayanan, Bhatt and Minhas",IMAX,333,333,0,Maharashtra,Panvel,C,4,573,185,763236
Bose-Padmanabhan,IMAX,175,164,11,Meghalaya,Khammam,C,6,700,168,699888
"Dave, Kar and Chakrabarti",IMAX,153,150,3,West Bengal,Gulbarga,C,4,396,192,239904
Mishra-Chad,Mini,182,176,6,Jharkhand,Kolkata,C,4,225,53,159672
Jhaveri LLC,Multiplex,285,273,12,Telangana,Jalna,C,4,226,180,255432
Wadhwa-Rao,Single Screen,395,385,10,Nagaland,Ranchi,C,5,536,193,1041450
"Ratta, Garg and Chakraborty",Single Screen,361,332,29,West Bengal,Machilipatnam,C,4,675,93,907188
"Gill, Shere and Chawla",Multiplex,120,113,7,Meghalaya,Rourkela,C,4,252,93,116508
"Yogi, Keer and Karpe",IMAX,217,204,13,Nagaland,Chinsurah,C,5,600,124,620060
"Vala, Golla and Naidu",Mini,176,171,5,Haryana,Chandigarh,C,3,451,84,232623
Shroff-Mandal,Multiplex,132,123,9,Kerala,Medininagar,C,6,642,55,476766
Taneja-Sarma,Mini,170,153,17,Nagaland,Bihar Sharif,C,6,339,67,318036
